name,company,seriesColor,ticker,radialColumn,change,xAxisColumn,yAxisColumn,
Gary R. Heminger ,Marathon Petroleum ,Energy,MPC,18.9,0.01,714,97.1,97102
Dion J. Weisler ,HP ,Energy,HPQ,19.2,0.3,241,58.5,58472
Paal Kibsgaard ,Schlumberger ,Energy,SLB,15.2,-0.18,216,32.8,32815
Lorenzo Simonelli ,Baker Hughes ,Energy,BHGE,15.6,n/a,207,22.9,22877
Joseph W. Gorder ,Valero Energy ,Energy,VLO,17.4,-0.05,122,111.4,111407
Vicki Hollub ,Occidental Petroleum ,Energy,OXY,14.1,0.11,114,18.9,18934
Greg Garland ,Phillips 66 ,Energy,PSX,19.3,0.11,98,114.2,114217
George J. Damiris ,HollyFrontier ,Energy,HFC,11.4,0.15,82,17.7,17715
